timestamp,gyroscope-x,gyroscope-y,gyroscope-z,accelorometer-x,accelorometer-y,accelorometer-z,resultant-g,label
1667301245,-4.13,-35.88,-3.15,0.59,-0.04,1.38,1.51,Fall
1667301245,23.27,-35.33,-77.14,0.79,0.02,1.4,1.61,Fall
1667301245,75.56,-60.04,-13.97,0.65,0.46,1.51,1.7,Fall
1667301245,38.8,20.69,10.35,0.57,0.68,1.43,1.69,Fall
1667301246,56.67,60.82,46.78,0.53,0.88,1.04,1.46,Fall
1667301246,62.94,86.84,75.18,0.66,0.69,0.77,1.23,Fall
1667301246,115.58,135.95,118.4,0.77,0.68,0.6,1.19,Fall
1667301246,100.46,207.57,95.17,0.75,0.77,0.45,1.16,Fall
1667301246,21.64,84.32,47.46,0.35,1.13,0.4,1.25,Fall
1667301246,-8.56,-5.05,-41.17,0.65,0.9,0.47,1.2,Fall
1667301246,-27.61,19.91,-83.69,0.72,0.95,0.42,1.26,Fall
1667301246,-9.13,-9.33,-62.54,0.66,0.91,0.42,1.19,Fall
1667301247,-3.06,-74.66,-42.4,0.74,0.96,0.42,1.28,Fall
1667301247,-16.36,-0.42,-26.79,0.78,0.87,0.52,1.28,Fall
1667301247,-38.12,49.27,-28.27,0.58,0.72,0.52,1.06,Fall
1667301247,-38.28,-1.93,-39.28,0.4,0.55,0.57,0.88,Fall
1667301247,-99.53,-116.53,-76.11,0.3,0.27,0.81,0.9,Fall
1667301247,-149.24,-4.03,-190.69,-1.03,0.48,1.37,1.78,Fall
1667301247,-60.51,-28.64,-15.88,-0.55,-0.59,1.65,1.83,Fall
1667301248,-75.61,-91.15,-40.37,0.73,-0.38,0.79,1.14,Fall
1667301248,87.33,116.6,22.1,0.9,-0.46,0.95,1.38,Fall
1667301248,-43.81,-5.54,-27.74,-0.12,-0.09,1.4,1.41,Fall
1667301248,-2.33,49.99,-4.59,0.55,-0.18,1.09,1.23,Fall
1667301248,12.77,58.49,-0.46,0.11,0.1,1.39,1.4,Fall
1667301248,-3.55,35.41,41.62,0.25,0.05,1.46,1.48,Fall
1667301248,-8.25,-57.01,44.42,0.13,-0.1,1.19,1.2,Fall
1667301248,-28.46,-18.6,30.72,0.22,-0.07,1.13,1.15,Fall
1667301249,3.38,-26.55,-10.58,0.26,-0.12,1.07,1.11,Fall
1667301249,43.2,-67.24,-35.11,0.23,0.14,1.26,1.29,Fall
1667301249,35.29,-10.52,-33.25,0.35,0.71,1.56,1.75,Fall
1667301249,50.17,58.5,9.47,0.31,0.61,1.33,1.5,Fall
1667301249,98.34,54.84,82.59,0.53,0.53,0.99,1.24,Fall
1667301249,88.04,76.98,109.86,0.62,0.53,0.74,1.1,Fall
1667301249,86.43,83.05,146.87,0.63,0.79,0.49,1.13,Fall
1667301249,28.95,105.39,93.26,0.62,1.09,0.31,1.29,Fall
1667301250,-2.24,183.58,-70.21,0.74,0.88,0.32,1.2,Fall
1667301250,-9.45,173.68,-76.54,0.45,0.8,0.25,0.95,Fall
1667301250,38.37,11.27,9.13,0.45,0.86,0.35,1.04,Fall
1667301250,-23.22,29.32,20.11,0.93,1.01,0.77,1.58,Fall
1667301250,-8.03,-61.21,-10.53,0.68,0.96,0.34,1.23,Fall
1667301250,-21.86,8.17,-21.42,0.68,0.86,0.36,1.15,Fall
1667301250,-2.43,1.26,-18.95,0.61,0.86,0.32,1.1,Fall
1667301251,15.06,-6.66,-19.69,0.62,0.86,0.34,1.12,Fall
1667301251,24.03,2.45,-20.25,0.64,0.85,0.37,1.13,Fall
1667301251,10.48,58.69,-28.65,0.58,0.79,0.47,1.09,Fall
1667301251,25.26,30.45,-61.81,0.36,0.62,0.29,0.77,Fall
1667301251,16.88,11.17,-127.49,0.25,0.7,0.23,0.78,Fall
1667301251,77.4,75.88,-172.35,0.04,0.28,-0.16,0.32,Fall
1667301251,156.71,-45.88,-168.08,0.19,-0.05,-0.16,0.25,Fall
1667301251,94.48,139.54,9.22,-0.76,-0.16,-0.11,0.78,Fall
1667301252,-4.56,-80.64,-59.52,0.58,-0.07,0.2,0.62,Fall
1667301252,3.14,1.15,-27.04,0.44,-0.82,0.19,0.95,Fall
1667301252,-19.17,31.35,53.29,-0.19,-0.16,-0.05,0.25,Fall
1667301252,-7.96,-41.1,9.71,-0.26,-0.44,-0.16,0.53,Fall
1667301252,-6.45,-30.97,-28.52,0.23,-0.19,0.07,0.3,Fall
1667301252,-37.92,15.55,-17.13,-0.25,-0.24,-0.22,0.4,Fall
1667301252,1.2,-100.03,43.4,-0.12,-0.39,0.03,0.41,Fall
1667301252,-25.89,-77.61,88.09,-0.28,-0.38,0.12,0.49,Fall
1667301253,-34.75,-85.14,26.89,-0.07,-0.18,0.25,0.31,Fall
1667301253,-11.44,-138.31,-6.29,-0.27,-0.16,0.49,0.58,Fall
1667301253,3.65,-249.38,36.8,0.17,0.06,0.86,0.87,Fall
1667301253,34.12,-34.59,0.66,0.54,0.31,1.34,1.48,Fall
1667301253,80.67,-3.25,0.91,0.43,0.54,1.33,1.5,Fall
1667301253,121.78,16.35,30.54,0.39,0.81,1.23,1.52,Fall
1667301253,114.33,-15.29,60.17,0.64,0.85,1.09,1.52,Fall
1667301254,85.98,-26.96,46.61,0.77,0.57,0.76,1.22,Fall
1667301254,51.97,33.52,36.1,0.85,0.71,0.63,1.27,Fall
1667301254,59.68,-38.78,24.25,0.54,0.86,0.62,1.18,Fall
1667301254,-14.79,-172.06,7.16,0.78,1.11,0.47,1.43,Fall
1667301254,-78.22,-86.6,-44.23,0.66,1.02,0.2,1.23,Fall
1667301254,-27.97,-28.55,-37.51,0.62,0.81,0.17,1.03,Fall
1667301254,65.85,-39.08,4.17,0.56,0.77,0.32,1.01,Fall
1667301255,51.8,-121.52,-15.43,0.57,1.05,0.3,1.23,Fall
1667301255,16.02,22.78,-15.67,0.81,0.93,0.52,1.34,Fall
1667301255,-9.44,1.28,13.33,0.57,0.88,0.28,1.09,Fall
1667301255,-6.93,28.85,28.18,0.7,0.91,0.43,1.23,Fall
1667301255,-9.57,15.78,15.97,0.62,0.93,0.41,1.19,Fall
1667301255,-10.25,-17.33,7.78,0.68,0.92,0.45,1.23,Fall
1667301255,-26.2,-44.17,32.81,0.74,0.85,0.52,1.24,Fall
1667301255,-38.67,47.43,38.78,0.86,0.78,0.57,1.29,Fall
1667301256,-32.38,45.54,51.84,0.84,1.08,0.8,1.59,Fall
1667301256,-149.49,80.58,23.28,1.04,0.99,0.91,1.7,Fall
1667301256,-180.34,61.5,-35.74,0.87,1.5,0.95,1.98,Fall
1667301256,-63,96.51,-30.44,0.63,-1.48,1.92,2.51,Fall
1667301256,-24.57,-112.04,-38.06,1.55,-0.68,0.95,1.94,Fall
1667301256,-64.35,47.11,-47.18,1.18,-0.24,0.81,1.45,Fall
1667301256,8.13,21.24,-10.6,1.22,-0.84,1.21,1.91,Fall
1667301256,67.66,-35.69,51.72,1.2,-0.13,1.62,2.02,Fall
1667301257,100.62,-3.93,13.9,0.55,0.31,1.38,1.51,Fall
1667301257,42.56,63.69,-18.03,0.78,0.41,1.36,1.62,Fall
1667301257,8.45,-6.18,5.59,0.64,0.4,1.27,1.47,Fall
1667301257,-3.94,3.43,-11.42,0.78,0.44,1.28,1.57,Fall
1667301258,-1.08,58.25,-32.45,0.45,0.62,1.5,1.68,Fall
1667301258,31.75,81.79,6.3,0.31,0.61,1.22,1.4,Fall
1667301258,80.89,68.2,58.7,0.37,0.81,0.97,1.32,Fall
1667301258,65.92,67.67,67.74,0.44,0.82,0.73,1.19,Fall
1667301258,32.84,74.71,64.59,0.63,0.63,0.56,1.06,Fall
1667301258,24.64,130.83,87.77,0.66,0.7,0.35,1.03,Fall
1667301258,36.7,119.68,92.14,0.51,0.99,0.37,1.18,Fall
1667301258,20.17,-0.35,-28.67,0.65,0.98,0.35,1.23,Fall
1667301259,-20.81,56.33,-90.47,0.69,0.93,0.44,1.24,Fall
1667301259,-31.52,-18.06,-0.6,0.94,0.9,0.55,1.41,Fall
1667301259,6.5,60.97,-6.05,0.71,0.97,0.4,1.26,Fall
1667301259,-9.8,-15.74,2.73,0.61,0.91,0.38,1.16,Fall
1667301259,1.26,-13.06,3.2,0.6,0.89,0.39,1.14,Fall
1667301259,1.64,-30.99,-9.26,0.63,0.92,0.41,1.19,Fall
1667301259,-3.6,-28.39,-27.71,0.64,0.92,0.41,1.19,Fall
1667301259,-13.62,-43.38,-9.38,0.82,0.92,0.5,1.33,Fall
1667301260,-17.59,5.5,-19.77,0.63,0.92,0.46,1.2,Fall
1667301260,-26.06,-20.53,-28.05,0.66,0.83,0.45,1.16,Fall
1667301260,-34.79,8.8,-36.06,0.62,0.76,0.59,1.14,Fall
1667301260,-82.58,-69.46,-51.05,0.64,0.23,0.62,0.92,Fall
1667301260,-121.31,-77.26,-154.88,-0.4,0.44,1.82,1.92,Fall
1667301260,-149.96,22.45,-57.97,-0.16,0.51,1.92,2,Fall
1667301260,-4.37,-59.41,40.47,0.57,-0.12,0.95,1.11,Fall
1667301261,9.4,-15.05,-0.71,0.8,-0.38,0.67,1.11,Fall
1667301261,12.45,22.96,13.2,-0.57,0.6,1.74,1.93,Fall
1667301261,27.92,-65.56,15.28,0.79,0.07,1.39,1.6,Fall
1667301261,-4.89,65.88,-8.54,0.4,-0.04,1.32,1.38,Fall
1667301261,30.1,-115.58,4.54,0.08,-0.08,1.55,1.55,Fall
1667301261,13.3,-24.57,14.9,0.53,-0.09,1.42,1.51,Fall
1667301261,14.18,32.16,21.94,0.33,-0.01,1.18,1.22,Fall
1667301261,-29.59,4.83,4.76,0.19,0.06,1.1,1.12,Fall
1667301262,13.92,-48.71,-17.38,0.48,0.19,1.35,1.45,Fall
1667301262,15.89,2.77,-32.84,0.37,0.45,1.41,1.52,Fall
1667301262,96.97,42.87,82.51,0.65,0.62,0.78,1.19,Fall
1667301262,49.89,115.81,92.17,0.75,0.66,0.54,1.13,Fall
1667301263,15.47,212.74,86.88,0.71,0.89,0.3,1.18,Fall
1667301263,32.96,167.12,30.49,0.42,0.86,0.4,1.04,Fall
1667301263,24.64,-36.46,-2.76,0.63,0.94,0.37,1.19,Fall
1667301263,30.25,23.14,-23.57,0.68,0.96,0.41,1.25,Fall
1667301263,-6.93,-42.75,11.3,0.63,0.97,0.39,1.22,Fall
1667301263,-13.49,-38.2,-2.98,0.71,1.2,0.25,1.41,Fall
1667301263,-15.94,13.95,-35.56,0.86,0.8,0.43,1.25,Fall
1667301263,-6.95,17.5,-10.75,0.69,0.91,0.46,1.23,Fall
