gyroscope-x,gyroscope-y,gyroscope-z,accelorometer-x,accelorometer-y,accelorometer-z,resultant-g,label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.29,15.32,65.04,0.58,-1.88,0.51,2.03,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.18,-2.68,-29.98,-0.26,0.02,0.89,0.93,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.77,-17.87,177.91,0.04,-1.21,0.81,1.46,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.01,46.24,-87.71,-0.26,0.13,0.98,1.02,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.88,-15.64,227.09,-0.25,-1.01,0.79,1.31,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.58,-0.11,-218.14,-0.57,0.65,0.99,1.31,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.74,-91.19,225.63,-0.73,-0.12,0.9,1.16,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.13,61.65,-249.69,-0.45,0.05,1.05,1.14,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.68,-41.62,139.17,-0.55,0.11,0.95,1.11,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.12,47.95,-234.91,0.02,-0.84,0.85,1.2,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.81,-30.97,161.36,-0.24,0.29,1.04,1.11,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.39,22.37,-96.72,0.86,-1.57,0.55,1.87,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.66,-17.26,51.68,-0.24,-0.07,0.99,1.03,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.78,-33.89,180.01,0.34,-1.39,0.7,1.59,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.96,28.47,-129.8,-0.44,0.36,0.99,1.14,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.82,-86.49,238.6,-0.71,-0.08,0.9,1.15,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.92,81.39,-249.69,-0.41,-0.31,1.01,1.13,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.93,-41.49,186.03,-0.37,0.18,0.98,1.06,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30.96,-11.59,-155.45,0.54,-1.47,0.6,1.68,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.74,0.69,3.66,-0.2,0,0.94,0.96,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.61,-35.47,221.55,-0.14,-0.84,0.83,1.18,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.87,50,-224.11,-0.47,0.64,1.09,1.34,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-42.23,-134.66,241.21,-0.71,-0.55,0.77,1.18,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.31,10.49,-249.69,-0.82,0.89,1.15,1.67,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13.32,-55,244.3,-0.53,0.47,1.01,1.23,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.86,53.68,-217.6,0.05,-0.9,0.76,1.18,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.89,-51.73,135.18,-0.24,0.36,1.12,1.2,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.07,72.13,-164.99,0.46,-1.21,0.69,1.47,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
